title,url,points,published_time,hours_ago,engagement_level,performance_score,title_length,word_count,is_question,is_viral
Show HN: Apple's Sharp Running in the Browser via ONNX Runtime Web,https://github.com/bring-shrubbery/ml-sharp-web,63,4 hours ago,4,Medium,12.6,66,12,0,0
A couple million lines of Haskell: Production engineering at Mercury,https://blog.haskell.org/a-couple-million-lines-of-haskell/,301,13 hours ago,13,High,21.5,68,10,0,0
This Month in Ladybird – April 2026,https://ladybird.org/newsletter/2026-04-30/,393,16 hours ago,16,High,23.11764705882353,35,7,0,0
Group averages obscure how an individual's brain controls behavior: study,https://med.stanford.edu/news/all-news/2026/04/brain-scans-individual-versus-group.html,37,5 hours ago,5,Low,6.166666666666667,73,10,0,0
Dav2d,https://code.videolan.org/videolan/dav2d,522,19 hours ago,19,Viral,26.1,5,1,0,1
Six Years Perfecting Maps on WatchOS,https://www.david-smith.org/blog/2026/04/29/maps-on-watchos/,351,16 hours ago,16,High,20.647058823529413,36,6,0,0
Windows quality update: Progress we've made since March,https://blogs.windows.com/windows-insider/2026/05/01/windows-quality-update-progress-weve-made-since-march/,82,8 hours ago,8,Medium,9.11111111111111,55,8,0,0
Utilyze measures how efficiently your GPU is doing useful work,https://github.com/systalyze/utilyze,15,3 hours ago,3,Low,3.75,62,10,0,0
Do_not_track,https://donottrack.sh/,397,19 hours ago,19,High,19.85,12,1,0,0
"Neanderthals ran 'fat factories' 125,000 years ago (2025)",https://www.universiteitleiden.nl/en/news/2025/07/neanderthals-ran-fat-factories-125000-years-ago,225,16 hours ago,16,High,13.235294117647058,57,8,0,0
Unverified Evaluations in Dusk's PLONK,https://osec.io/blog/2026-04-30-unverified-evaluations-dusk-plonk/,28,6 hours ago,6,Low,4.0,38,5,0,0
Investors pile into clean energy as Iran war drives push for energy security,https://www.ft.com/content/9921f2b5-c910-4cec-a50f-cad453935a1a,55,3 hours ago,3,Medium,13.75,76,13,0,0
Care homes and hotels in Japan shut as expansion strategy unravels,https://www.newsonjapan.com/article/149075.php,61,11 hours ago,11,Medium,5.083333333333333,66,11,0,0
"Specsmaxxing – On overcoming AI psychosis, and why I write specs in YAML",https://acai.sh/blog/specsmaxxing,164,6 hours ago,6,High,23.428571428571427,72,13,0,0
All Four Sentinel-1 Satellites Are Now Live,https://orbitaltoday.com/2026/05/03/all-four-sentinel-1-satellites-are-now-live-and-europes-earth-watch-just-got-stronger/,3,2 hours ago,2,Low,1.0,43,7,0,0
Inventions for battery reuse and recycling increase seven-fold in last decade,https://www.epo.org/en/news-events/news/inventions-battery-reuse-and-recycling-increase-more-seven-fold-last-decade,207,21 hours ago,21,High,9.409090909090908,77,11,0,0
VS Code inserting 'Co-Authored-by Copilot' into commits regardless of usage,https://github.com/microsoft/vscode/pull/310226,1296,17 hours ago,17,Viral,72.0,75,10,0,1
Systemd-manager-TUI: A TUI application for managing systemd services,https://github.com/Matheus-git/systemd-manager-tui,33,2 hours ago,2,Low,11.0,68,8,0,0
The agent harness belongs outside the sandbox,https://www.mendral.com/blog/agent-harness-belongs-outside-sandbox,120,16 hours ago,16,Medium,7.0588235294117645,45,7,0,0
A more efficient implementation of Shor's algorithm,https://lwn.net/Articles/1066156/,93,14 hours ago,14,Medium,6.2,51,7,0,0
Clojurists Together – Q2 2026 Open Source Funding Announcement,https://www.clojuriststogether.org/news/q2-2026-funding-announcement/,116,15 hours ago,15,Medium,7.25,62,9,0,0
Because it doesn't have to,https://blog.computationalcomplexity.org/2026/04/because-it-doesnt-have-to.html,60,11 hours ago,11,Medium,5.0,26,5,0,0
"Show HN: State of the Art of Coding Models, According to Hacker News Commenters",https://hnup.date/hn-sota,127,15 hours ago,15,Medium,7.9375,79,14,0,0
"How fast is a macOS VM, and how small could it be?",https://eclecticlight.co/2026/05/02/how-fast-is-a-macos-vm-and-how-small-could-it-be/,253,1 day ago,24,High,10.12,50,12,1,0
A physics engine with incremental rollback for multiplayer games,https://easel.games/blog/2026-rollback-physics,100,17 hours ago,17,Medium,5.555555555555555,64,9,0,0
Benchmarking a Bug Scanner,https://blog.detail.dev/posts/bug-scanner/,5,3 hours ago,3,Low,1.25,26,4,0,0
Maryland to ban A.I.-driven price increases in grocery stores,https://www.nytimes.com/2026/05/01/business/surveillance-pricing-groceries-maryland.html,188,11 hours ago,11,High,15.666666666666666,61,9,0,0
The USB Situation,https://randsinrepose.com/archives/the-usb-situation/,138,1 day ago,24,Medium,5.52,17,3,0,0
DeepSeek V4 – almost on the frontier,https://simonwillison.net/2026/Apr/24/deepseek-v4/,563,1 day ago,24,Viral,22.52,36,7,0,1
"AI, Intimacy, and the Data You Never Meant to Share",https://fshot.org/techzone/the-algorithm-knows.php,47,10 hours ago,10,Low,4.2727272727272725,51,10,0,0
